1,2,3,type
37,0,83,1
41,0,82,1
55,0,77,4
62,0,109,1
56,0,97,4
43,-2,77,1
50,0,110,1
37,0,77,1
48,-4,79,1
37,0,77,1
49,1,78,1
55,1,81,1
58,3,81,1
37,0,81,1
46,-2,93,1
41,-3,78,1
46,5,86,1
56,0,96,1
42,-3,99,1
45,-3,85,1
41,0,81,1
46,0,88,1
80,-4,84,5
85,0,88,5
37,0,75,1
56,-1,96,1
55,0,78,4
55,-1,79,4
41,2,86,1
37,0,77,1
83,0,86,5
56,1,77,4
41,-2,81,1
55,0,78,4
44,-3,86,1
44,2,84,1
44,0,76,1
37,0,77,1
37,0,81,1
44,3,76,1
37,0,77,1
37,0,79,1
54,-1,82,1
49,0,95,1
37,0,76,1
44,1,86,1
45,0,77,1
42,-2,85,1
51,0,83,1
37,0,78,1
42,0,78,1
55,0,96,4
47,0,76,1
57,0,82,1
56,0,95,1
55,0,82,4
56,5,80,4
105,0,106,5
56,0,82,1
45,0,77,1
57,0,81,1
59,0,86,1
55,1,96,4
37,0,81,1
43,0,77,1
51,5,102,1
37,0,95,1
56,0,77,4
37,0,81,1
58,0,88,1
37,0,106,1
43,-2,81,1
42,4,86,1
43,-1,83,1
43,1,102,1
56,0,90,1
44,0,86,1
43,0,86,1
55,0,77,4
37,0,106,1
64,0,113,1
44,3,81,1
37,0,79,1
37,0,78,1
45,0,86,1
41,0,83,1
49,0,82,1
76,2,81,5
53,0,86,1
37,0,76,1
55,4,86,1
50,3,77,1
37,-1,106,1
41,0,83,1
37,0,98,1
39,-3,78,1
37,-2,75,1
37,0,77,1
55,0,83,4
43,0,81,1
49,3,102,1
38,-3,77,1
45,0,76,1
37,-5,77,1
46,2,83,1
37,0,95,1
37,0,83,1
59,0,86,1
37,0,83,1
45,-1,79,1
45,-1,88,1
55,2,72,4
38,0,107,1
45,-4,79,1
44,-3,77,1
81,0,84,5
37,0,81,1
48,0,82,1
41,0,80,1
41,-4,77,1
47,3,86,1
37,0,78,1
41,0,79,1
42,2,86,1
62,0,109,1
49,0,85,1
64,1,113,1
37,0,77,1
37,0,77,1
48,0,84,1
45,0,85,1
47,0,86,1
56,5,96,4
37,0,83,1
37,0,81,1
54,1,82,1
43,1,76,1
55,0,78,4
41,-1,81,1
79,0,83,5
37,0,81,1
51,0,86,1
56,0,95,1
37,0,106,1
48,4,77,1
45,-1,81,1
45,4,108,1
41,-5,108,1
37,0,76,1
46,3,90,1
54,0,88,1
37,-4,90,1
43,0,85,1
41,0,88,1
55,-4,80,4
42,-5,84,1
55,0,92,4
51,4,85,1
37,0,78,1
38,-2,92,1
41,0,79,1
45,0,88,1
55,4,77,1
37,0,81,1
45,-1,84,1
48,-1,84,1
83,0,86,5
37,0,105,1
44,0,86,1
51,-5,77,1
37,0,83,1
55,4,89,1
41,0,83,1
37,0,95,1
37,0,80,1
42,0,81,1
37,0,104,1
39,1,86,1
52,-2,83,1
42,0,86,1
37,0,81,1
56,1,98,4
37,0,105,1
44,-1,79,1
55,0,83,1
37,0,77,1
55,0,79,4
37,0,107,1
42,0,84,1
55,0,77,4
49,0,82,1
49,0,88,1
45,0,88,1
53,0,88,1
51,0,82,1
37,0,82,1
41,0,83,1
45,0,106,1
43,0,81,1
45,0,76,1
56,0,76,4
48,1,94,1
48,0,95,1
37,0,95,1
46,0,86,1
52,-1,83,1
46,1,77,1
41,0,80,1
45,2,93,1
41,0,84,1
55,-1,87,1
43,-1,87,1
56,0,76,4
38,2,76,1
49,0,84,1
41,1,78,1
37,0,75,1
55,0,95,4
38,3,86,1
37,0,83,1
38,-2,80,1
45,0,77,1
49,0,88,1
56,0,97,4
43,-5,87,1
55,-1,76,4
37,0,105,1
56,0,95,4
54,-2,78,1
49,4,77,1
39,0,77,1
56,0,92,1
45,-5,82,1
38,1,77,1
45,0,93,1
44,1,75,1
49,0,86,1
41,0,82,1
46,0,85,1
37,0,78,1
37,0,82,1
55,0,79,4
85,0,88,5
37,0,100,1
37,0,76,1
37,0,77,1
44,0,89,1
53,1,78,1
37,0,80,1
37,0,79,1
41,1,106,1
38,2,79,1
37,0,76,1
55,4,81,1
41,0,77,1
56,0,97,4
37,0,78,1
37,0,75,1
62,-1,108,1
56,0,97,4
49,0,88,1
51,-2,78,1
37,0,83,1
41,0,76,1
37,0,77,1
49,0,95,1
46,0,85,1
55,1,86,1
41,0,86,1
45,0,83,1
47,2,83,1
55,0,77,4
80,0,84,5
43,0,83,1
50,0,86,1
49,2,77,1
37,0,75,1
53,-1,86,1
55,0,77,4
81,-3,84,5
55,0,95,4
55,0,77,4
55,0,96,4
42,1,79,1
37,1,76,1
37,-1,79,1
56,4,97,4
44,1,107,1
51,5,87,1
37,0,83,1
55,0,83,4
37,0,76,1
38,0,79,1
37,2,77,1
37,0,80,1
37,0,78,1
55,0,95,4
55,0,76,4
37,0,105,1
38,1,83,1
43,0,79,1
37,0,76,1
37,0,106,1
41,-2,80,1
37,0,76,1
49,0,88,1
46,0,86,1
58,0,80,1
48,0,84,1
45,0,81,1
37,0,83,1
105,0,106,5
44,0,87,1
49,0,100,1
41,-1,81,1
37,0,76,1
37,0,104,1
45,0,86,1
55,-1,79,4
41,-3,80,1
49,0,78,1
52,-3,84,1
56,0,77,4
42,-1,106,1
43,0,81,1
51,-2,87,1
56,0,89,1
37,0,94,1
53,5,81,1
55,-1,83,1
55,1,83,1
45,0,86,1
45,0,82,1
38,0,93,1
37,0,77,1
81,0,85,5
47,0,76,1
45,0,88,1
55,0,77,4
49,0,84,1
58,0,86,1
45,0,79,1
56,0,96,4
37,0,105,1
37,0,90,1
54,-1,81,1
44,0,81,1
50,-3,77,1
43,0,84,1
55,0,82,1
44,0,79,1
44,4,84,1
44,2,81,1
55,0,93,4
51,1,78,1
39,0,78,1
37,-2,80,1
44,0,86,1
49,-2,82,1
56,4,91,1
46,4,81,1
37,-1,81,1
46,1,80,1
81,2,83,5
37,4,86,1
55,0,76,4
56,0,86,1
54,-8,74,4
106,-2,107,5
53,0,86,1
54,2,85,1
42,2,108,1
55,0,90,1
55,0,77,4
53,-4,102,1
44,-3,77,1
55,0,92,4
39,0,76,1
43,0,75,1
41,0,84,1
37,0,95,1
51,1,91,1
37,3,75,1
49,0,86,1
37,0,74,1
37,0,104,1
37,0,78,1
42,0,77,1
44,1,87,1
53,0,84,1
37,-16,106,1
39,0,81,1
52,2,83,1
44,1,79,1
41,-1,83,1
101,0,102,5
37,0,108,1
46,0,75,1
43,0,86,1
54,4,79,1
37,0,76,1
49,0,88,1
37,1,90,1
37,2,109,1
37,-1,106,1
38,3,76,1
37,0,76,1
37,-1,76,1
55,-1,79,4
46,0,86,1
41,1,97,1
56,3,77,4
56,0,76,4
37,0,83,1
55,0,84,1
52,-2,83,1
41,0,88,1
41,0,84,1
38,0,76,1
45,-3,82,1
37,0,80,1
49,2,86,1
37,0,79,1
51,0,81,1
39,2,78,1
37,0,78,1
37,0,76,1
47,0,84,1
79,0,83,5
105,0,106,5
45,-1,77,1
37,0,79,1
46,0,76,1
37,0,99,1
39,1,78,1
44,0,95,1
56,0,95,4
55,1,91,1
55,0,93,4
44,1,84,1
45,3,81,1
80,0,84,5
38,-4,79,1
37,0,79,1
51,0,78,1
47,-4,106,1
55,0,79,4
48,-5,81,1
47,4,81,1
37,0,106,1
50,-1,83,1
56,0,97,1
56,0,76,4
37,1,109,1
37,0,106,1
37,0,76,1
37,0,79,1
57,-2,84,1
38,1,77,1
44,1,108,1
83,0,86,5
107,0,108,5
37,0,81,1
81,0,84,5
45,0,87,1
37,0,76,1
41,0,86,1
47,0,102,1
55,0,78,4
37,0,80,1
45,0,84,1
47,5,78,1
54,2,81,1
37,0,100,1
81,3,85,5
40,5,79,1
55,-4,80,4
51,-2,90,1
56,0,98,4
37,1,90,1
37,0,94,1
46,4,87,1
37,0,79,1
56,-3,97,4
49,0,83,1
43,0,76,1
37,0,79,1
56,0,92,4
55,0,77,4
56,2,77,4
45,0,76,1
37,0,106,1
53,0,86,1
53,-2,102,1
41,0,88,1
46,0,84,1
37,2,75,1
44,0,77,1
37,0,77,1
43,0,88,1
42,-1,87,1
55,0,98,4
37,3,76,1
48,0,89,1
37,0,83,1
56,0,97,4
37,0,79,1
51,0,85,1
46,3,77,1
49,0,95,1
102,0,102,5
45,0,76,1
54,-4,78,1
51,3,78,1
55,0,92,4
41,0,79,1
56,0,96,1
56,3,95,4
58,1,85,1
37,0,90,1
43,0,78,1
37,0,76,1
59,-2,84,1
37,0,83,1
46,0,84,1
54,4,104,1
37,0,83,1
56,-1,97,4
37,0,94,1
38,0,81,1
49,1,88,1
105,0,107,5
50,-1,86,1
42,0,77,1
51,-5,86,1
81,-5,84,5
37,0,78,1
82,0,85,5
37,0,77,1
37,0,95,1
56,1,77,4
56,1,97,1
59,1,86,1
39,-3,82,1
37,0,78,1
47,0,79,1
37,0,81,1
66,0,113,1
49,0,86,1
46,0,81,1
44,2,88,1
43,0,83,1
77,1,81,5
46,-3,88,1
55,-5,77,1
42,1,79,1
55,0,93,4
105,2,106,5
55,0,96,4
42,-2,82,1
37,0,74,1
37,0,77,1
41,3,76,1
54,0,87,1
102,0,103,5
37,0,81,1
37,0,82,1
55,0,79,4
47,3,77,1
44,-1,81,1
37,0,106,1
46,0,79,1
83,-3,87,5
45,0,85,1
53,0,102,1
49,0,95,1
38,0,76,1
55,0,96,4
81,-3,85,5
37,0,79,1
37,0,82,1
55,0,83,4
56,1,98,4
48,0,77,1
37,0,80,1
55,0,77,4
37,0,77,1
52,0,84,1
55,0,95,1
56,4,96,4
46,0,109,1
37,0,77,1
49,-2,107,1
37,0,75,1
56,-2,97,1
37,0,91,1
39,1,93,1
44,3,85,1
44,0,79,1
44,-4,76,1
41,2,85,1
45,0,78,1
48,0,88,1
37,0,105,1
55,-1,85,1
50,0,81,1
41,3,83,1
44,0,86,1
44,0,89,1
51,0,86,1
44,1,75,1
38,1,76,1
41,0,90,1
37,0,83,1
37,0,108,1
38,1,93,1
37,0,106,1
37,0,80,1
44,0,83,1
55,0,77,4
55,0,96,4
37,-1,76,1
51,3,79,1
37,4,80,1
37,0,79,1
80,0,84,5
44,-4,83,1
37,0,94,1
55,0,81,4
44,3,77,1
58,3,84,1
37,0,79,1
55,-1,81,4
41,0,83,1
37,0,91,1
44,0,109,1
43,0,85,1
37,0,78,1
57,5,86,1
53,1,77,1
37,0,78,1
37,0,76,1
80,4,84,5
37,0,80,1
44,0,81,1
105,4,106,5
55,0,95,4
45,0,83,1
37,-2,75,1
39,0,85,1
45,-5,77,1
56,0,97,4
105,-1,107,5
37,0,77,1
49,-3,77,1
37,0,78,1
51,-4,88,1
42,3,79,1
40,-3,81,1
56,0,95,4
38,0,93,1
37,0,104,1
52,-3,77,1
38,1,76,1
37,0,97,1
44,0,81,1
53,0,84,1
38,2,77,1
49,2,81,1
56,-3,85,1
53,5,81,1
44,-1,82,1
55,-1,78,4
44,2,77,1
42,-4,83,1
55,0,77,4
37,0,99,1
49,0,80,1
52,-30,79,3
55,0,95,4
78,-4,83,5
76,0,81,5
55,0,78,4
40,-5,87,1
48,0,86,1
84,-2,88,5
56,1,80,4
56,5,77,4
56,0,92,4
41,0,79,1
37,0,81,1
53,0,80,1
56,-1,88,1
49,-3,81,1
38,0,94,1
82,0,86,5
38,0,75,1
43,0,80,1
55,0,98,4
44,0,86,1
43,-1,88,1
50,0,78,1
77,0,81,5
51,0,86,1
45,0,86,1
37,0,77,1
55,0,77,4
43,0,96,1
55,0,92,4
37,0,77,1
46,0,100,1
41,0,76,1
56,0,77,4
37,0,78,1
44,0,81,1
56,0,77,4
49,-1,81,1
56,4,98,4
37,0,76,1
83,0,86,5
42,0,86,1
46,0,86,1
105,0,106,5
40,0,80,1
44,-3,82,1
49,0,88,1
55,0,78,4
56,0,86,1
47,5,87,1
56,0,98,4
56,0,108,1
45,5,84,1
48,0,89,1
37,0,78,1
37,0,74,1
42,-7,76,1
37,0,79,1
53,0,108,1
47,0,84,1
49,0,107,1
56,0,83,1
44,-2,77,1
45,0,106,1
47,3,83,1
37,0,75,1
51,5,86,1
49,0,79,1
37,-1,77,1
37,-1,76,1
37,0,97,1
53,1,86,1
47,5,84,1
37,0,75,1
44,0,84,1
39,-1,108,1
47,0,87,1
78,1,82,5
56,0,79,4
59,0,86,1
37,0,75,1
43,5,90,1
55,-3,98,4
37,-2,80,1
55,0,81,4
58,2,87,1
46,5,79,1
41,0,87,1
49,2,83,1
56,4,98,4
56,0,77,4
47,0,86,1
37,4,94,1
46,0,87,1
51,5,86,1
41,1,85,1
53,-1,81,1
41,-4,82,1
56,4,95,4
37,0,106,1
56,0,87,1
43,0,78,1
45,0,81,1
49,3,87,1
80,0,84,5
59,-1,84,1
37,0,76,1
49,5,83,1
53,-2,81,1
108,1,109,5
81,-4,85,5
37,0,80,1
37,0,77,1
53,0,86,1
37,0,98,1
56,0,95,4
41,0,83,1
37,-1,107,1
51,0,102,1
43,0,80,1
45,0,83,1
43,0,79,1
46,4,79,1
56,0,80,1
39,-3,77,1
41,0,86,1
46,-4,83,1
43,0,90,1
43,0,81,1
43,0,79,1
37,0,80,1
79,-1,83,5
84,4,89,5
37,0,77,1
56,0,98,4
48,0,106,1
45,-2,83,1
44,2,86,1
84,-1,88,5
37,0,77,1
37,-2,91,1
49,5,82,1
45,-1,76,1
37,0,90,1
37,0,79,1
37,0,81,1
37,0,77,1
55,0,78,4
79,4,83,5
37,0,83,1
45,5,102,1
55,0,95,4
102,0,103,5
37,0,81,1
47,0,88,1
56,0,95,4
37,0,81,1
37,-1,80,1
55,0,93,4
49,0,107,1
52,-5,86,1
43,0,79,1
55,0,78,4
45,0,86,1
46,-1,100,1
37,3,97,1
76,0,81,5
45,0,80,1
45,-4,89,1
103,-4,104,5
49,1,81,1
76,-3,81,5
55,1,79,1
40,-1,82,1
55,5,81,1
46,0,86,1
55,1,72,4
37,0,76,1
55,0,97,4
49,0,81,1
41,-1,76,1
41,-1,88,1
45,0,84,1
37,-2,80,1
40,-3,81,1
37,0,75,1
38,5,76,1
43,0,83,1
43,-1,79,1
53,0,108,1
82,0,86,5
45,1,76,1
41,0,84,1
41,0,82,1
43,-1,76,1
37,0,81,1
40,-4,84,1
53,0,84,1
46,0,86,1
37,-3,75,1
41,2,106,1
41,0,106,1
56,0,82,1
63,3,111,1
44,-2,81,1
56,5,97,4
37,-1,80,1
39,0,77,1
41,-5,86,1
45,3,102,1
55,0,92,4
81,0,84,5
55,0,95,4
44,0,81,1
44,0,83,1
44,0,87,1
44,5,82,1
37,0,78,1
51,0,88,1
45,0,76,1
64,-1,111,1
51,-3,80,1
49,1,77,1
37,0,78,1
43,-2,75,1
55,-3,78,4
55,3,78,1
37,0,95,1
53,0,109,1
42,3,77,1
56,0,95,4
56,4,97,4
41,2,81,1
41,0,84,1
41,0,84,1
37,0,77,1
43,-4,81,1
56,2,81,4
56,1,91,1
85,0,88,5
43,0,86,1
39,0,106,1
47,-1,84,1
39,0,94,1
45,0,80,1
59,0,108,1
47,5,82,1
37,-1,79,1
49,0,82,1
49,0,95,1
44,0,87,1
45,-4,83,1
56,5,97,4
45,1,81,1
37,0,77,1
37,0,78,1
51,0,88,1
41,0,86,1
56,0,86,1
49,5,85,1
37,0,78,1
81,0,84,5
51,-4,77,1
50,0,77,1
56,0,96,1
37,0,77,1
37,0,104,1
48,0,106,1
37,1,92,1
37,0,78,1
56,-3,86,1
56,0,107,1
37,0,81,1
55,-2,91,1
56,0,81,4
53,0,88,1
38,5,79,1
44,0,82,1
45,-2,109,1
45,-4,81,1
56,0,95,1
37,0,76,1
56,0,80,4
40,0,81,1
53,1,81,1
65,3,113,1
49,4,86,1
53,0,78,1
41,0,76,1
55,-5,88,1
48,0,102,1
43,-1,79,1
44,1,76,1
39,-5,76,1
82,0,86,5
48,0,86,1
43,0,95,1
56,-1,88,1
42,-1,99,1
37,0,108,1
49,-2,101,1
55,0,77,4
38,-3,83,1
55,0,81,4
41,0,76,1
41,-4,86,1
45,-2,85,1
41,-2,100,1
56,0,77,4
41,0,108,1
38,0,82,1
39,2,81,1
44,2,76,1
37,0,76,1
56,0,95,4
56,0,77,4
102,0,103,5
41,4,84,1
44,0,83,1
55,0,77,4
105,-2,106,5
37,0,94,1
37,0,80,1
37,1,104,1
47,-2,90,1
80,0,84,5
37,-1,81,1
37,0,75,1
39,0,106,1
42,-3,86,1
42,0,77,1
56,0,97,4
55,0,77,4
49,3,77,1
55,0,79,4
58,2,97,1
37,0,78,1
53,0,81,1
45,0,87,1
37,0,76,1
50,0,87,1
37,0,77,1
37,0,97,1
47,-1,75,1
44,-1,76,1
44,-2,86,1
37,0,78,1
48,-1,81,1
53,2,86,1
42,0,83,1
46,0,86,1
49,2,87,1
37,0,76,1
55,0,92,4
55,0,92,4
48,4,76,1
37,0,77,1
52,0,86,1
38,0,102,1
41,0,79,1
56,-3,96,4
37,0,81,1
40,-4,79,1
80,-4,84,5
55,-5,77,4
56,5,77,4
37,0,95,1
42,0,87,1
39,1,76,1
45,0,82,1
56,2,98,4
46,0,102,1
56,0,79,1
103,-1,104,5
37,0,77,1
46,1,81,1
37,0,78,1
43,0,77,1
51,-1,78,1
38,0,80,1
37,0,77,1
37,0,100,1
56,0,86,1
41,0,78,1
37,0,83,1
56,0,87,1
36,-4,83,1
56,1,84,1
37,1,79,1
37,0,76,1
40,0,77,1
56,0,78,4
55,-1,80,4
37,0,80,1
81,4,84,5
37,0,77,1
46,0,76,1
39,-4,76,1
37,0,80,1
46,0,79,1
37,0,78,1
58,0,88,1
37,0,77,1
41,1,85,1
44,3,84,1
45,0,84,1
37,0,79,1
43,0,85,1
47,3,88,1
37,0,77,1
46,0,88,1
56,0,86,1
45,-3,81,1
44,2,76,1
40,0,77,1
41,0,85,1
48,-4,84,1
41,0,83,1
43,0,86,1
42,2,79,1
37,0,81,1
46,5,88,1
57,0,88,1
37,0,97,1
43,1,85,1
45,0,83,1
56,0,77,4
37,0,84,1
49,4,83,1
55,0,96,4
37,0,82,1
46,0,76,1
41,0,88,1
37,0,78,1
41,0,88,1
55,0,95,4
37,0,83,1
55,0,78,4
56,0,78,4
44,0,83,1
37,0,78,1
102,-4,104,5
37,0,82,1
55,-8,79,4
55,0,93,4
37,2,82,1
45,0,100,1
55,0,96,4
37,0,84,1
52,5,86,1
50,-1,85,1
82,0,86,5
53,0,79,1
55,0,77,4
37,3,78,1
56,0,81,4
37,0,81,1
45,-2,78,1
66,2,113,1
46,0,85,1
40,1,106,1
37,0,76,1
51,0,79,1
107,3,108,5
38,2,77,1
49,1,82,1
38,0,93,1
37,0,80,1
44,3,77,1
37,0,77,1
37,-7,106,1
37,0,74,1
56,0,96,4
56,0,80,4
51,0,78,1
56,0,81,4
56,0,96,4
37,0,76,1
37,0,79,1
45,0,76,1
37,0,81,1
41,0,81,1
50,0,88,1
49,1,81,1
46,0,81,1
37,0,77,1
46,0,82,1
47,0,88,1
46,0,84,1
55,0,77,4
37,0,76,1
55,0,97,4
56,0,90,1
37,0,75,1
78,-33,88,3
38,0,90,1
53,0,80,1
56,3,76,4
46,0,86,1
41,-1,76,1
49,0,86,1
49,1,88,1
49,5,82,1
49,0,84,1
37,0,108,1
46,0,76,1
56,0,78,4
81,3,84,5
37,0,78,1
56,0,81,1
49,1,94,1
48,0,77,1
41,-1,79,1
37,0,82,1
43,0,77,1
76,-2,81,5
86,5,89,5
76,0,80,5
50,3,88,1
37,0,75,1
37,0,77,1
57,4,92,1
44,0,76,1
59,0,86,1
37,0,76,1
37,0,97,1
38,-6,82,1
37,0,76,1
80,0,84,5
37,0,77,1
82,0,85,5
39,-2,81,1
51,0,78,1
46,0,82,1
55,0,77,4
53,14,95,4
41,0,83,1
37,0,77,1
37,0,83,1
46,-5,76,1
56,1,92,1
37,0,94,1
44,3,86,1
105,0,106,5
37,0,79,1
56,1,96,4
104,0,106,5
45,-4,81,1
